Characters,DateOfCreation,DateOfRef,DateOfBio,Character Status,Adopt?,Date Ref Difference,Date Bio Difference,Art,Digital,Ref,TH,Colour,Age,Height,Species,Gender,Pronouns,Sexuality,Handedness,World,Location,Full Name,Birthday,Image Count (TH),Image Count (Edited),Hair Colour,Eye Colour,Cowlick,Glasses,Colour1,Colour2,Colour3,Law vs Chaos,Good vs Evil
Basil,16/12/2021,20/12/2022,,minor,No,369,,Yes,Yes,Yes,No,#50A371,teen (dead),1.81 m,Human,Male,he/him,Pan,Right-handed,Bastards Knowledge,80s BOKs,Basil Fausset,,5,4,Green,Green,Yes,Yes,Green,Blue,Orange,Neutral,Good
Ben,13/05/2020,17/01/2022,08/02/2022,minor,No,614,636,Yes,Yes,Yes,Yes,#635A51,19,1.79 m,Bat-human,Male,he/him,Demi,Left-handed,Visiere,Republic of N�dre,Ben,22-Sep,7,6,Grey,Red,No,No,Yellow,Red,,Neutral,Neutral
Benjamin,27/01/2021,24/12/2021,27/12/2021,main,No,331,334,Yes,Yes,Yes,Yes,#89351F,19,1.71 m,Bear-dragon,Male,he/him,Gay,Right-handed,Visiere,Republic of N�dre,Benjamin Aiton,07-Oct,10,9,Brown,Blue,No,No,Orange,Red,Brown,Lawful,Good
Beth,21/10/2021,05/05/2022,23/12/2022,secondary,No,196,428,Yes,Yes,Yes,Yes,#746A84,18?,1.61 m,Dimenller,Demigirl,she/they,Ace,Right-handed,OO-0000,,Beth,,10,10,Grey,Purple,No,No,Purple,Green,Yellow,Neutral,Evil
Blue Topaz,01/01/2015,,28/08/2023,minor,No,,3161,Yes,No,No,Yes,#0504AA,4000+,1.67 m,Gem,Genderless,she/her,Ace,Left-handed,SU-2015 AU,,Blue Topaz,,1,2,Blue,Blue,Yes,No,Blue,,,Lawful,Good
Bo,04/04/2020,14/04/2022,26/04/2022,minor,No,740,752,Yes,Yes,Yes,Yes,#91675A,23,1.77 m,Dog,Female,she/her,Straight,Ambidextrous,Visiere,Oracelan,Bo Morris,18-Apr,11,11,Brown,Grey,No,No,Red,Brown,,Lawful,Good
Brocc,25/08/2018,17/06/2023,08/10/2020,minor,No,1757,775,Yes,Yes,Yes,Yes,#BA72D3,14,1.76 m,Human,Male,he/him,Straight,Right-handed,FW-4443,F. Highschool,Brock Brocc Lemonpie",18-Mar,25,24,Green,Brown,Yes,No,Purple,Green,Brown,Lawful,Neutral
Buddy,16/08/2018,28/03/2021,18/10/2020,secondary,Yes,955,794,Yes,Yes,Yes,Yes,#FFDF69,3,,Dragoncat,Male,he/him,Straight,Pawsies,Ahanaria,Wanderer,Buddy,??,12,11,N/A,Yellow,No,No,Yellow,,,Chaotic,Neutral
Cabal,28/05/2019,09/08/2021,12/08/2021,minor,No,804,807,Yes,Yes,Yes,Yes,#A7B9C5,41,1.79 m,Human,Male,he/him,Straight,Right-handed,FW-4443,Fairweather,Cabal Lemonpie,18-Nov,6,5,Green,Brown,Yes,No,Blue,Green,,Lawful,Neutral
Cailan,15/02/2020,06/08/2020,06/10/2020,main,No,173,234,Yes,Yes,Yes,Update,#A5A381,23,1.85 m,Human,Male,he/him,Gay,Ambidextrous,Ahanaria,Lord's Inn,Cailan Meadowspark,14-May,120,110,Green,Yellow,Yes,No,Brown,Yellow,Green,Neutral,Good
Calliope,06/01/2021,17/06/2021,27/03/2021,secondary,No,162,80,Yes,Yes,Yes,Yes,#FFD96C,5 (after),1.29 m,Human,Female,she/her,???,Ambidextrous,Ahanaria,Lord's Inn,Calliope Meadowspark,09-Aug,10,9,Blond,Yellow,Yes,No,Brown,Green,,Chaotic,Good
Calliope mother,16/07/2021,16/07/2021,17/07/2021,minor,No,0,1,Yes,Yes,Yes,Yes,#824272,30 (dead),1.66 m,Human,Female,she/her,Straight,Right-handed,Ahanaria,Angaar Capital,Calliope Meadowspark,26-Apr,7,6,Blond,Brown,Yes,No,Red,Purple,,Lawful,Good
Celly,10/09/2019,,15/01/2021,secondary,No,,493,Yes,No,No,Yes,#F9B123,19,1.68 m,Human,Female,she/her,Bi,Ambidextrous,FW-4443,F. University,Celly Cielo,10-Jan,5,5,Blue,Blue,No,No,Blue,Pink,Orange,Chaotic,Good
Chad,23/07/2019,05/01/2022,28/03/2021,antagonist,Yes,897,614,Yes,Yes,Yes,Update,#929F67,19,1.71 m,Demon-Human,Male,he/him,Straight,Right-handed,FW-4443,F. University,Chad Virgil,01-Feb,13,12,Brown,Green,Yes,Yes,Green,Brown,,Neutral,Evil
Charlie,12/03/2021,28/10/2021,28/03/2021,minor,Yes,230,16,Yes,Yes,Yes,Yes,#C4C4C4,???,2.00 m,Objecthead,Nonbinary,they/them,Pan,All,FW-4443,Fairweather,Charlie,??,8,6,N/A,N/A,No,No,Rainbow,Brown,Blue,,
Choy,06/01/2021,,19/03/2021,antagonist,No,,72,Yes,No,No,Yes,#AEC371,46,1.83 m,Human,Male,he/him,Straight,Right-handed,Ahanaria,Angaar Capital,Choy Meadowspark,04-May,6,6,Green,Yellow,No,No,Grey,Green,,Lawful,Evil
Chris,20/05/2018,20/05/2022,15/01/2021,antagonist,No,1461,971,Yes,Yes,Yes,Yes,#923138,15,1.79 m,Human,Male,he/him,Pan,Right-handed,FW-4443,F. Highschool,Chris Sterling,02-Jan,5,4,Black,Grey,Yes,No,Red,Blue,,Chaotic,Neutral
Claude,19/07/2022,14/02/2023,23/09/2023,minor,No,210,431,Yes,Yes,Yes,Yes,#FFDC69,1,,Cat,Male,he/him,Straight,Pawsies,Visiere,Republic of N�dre,Claude Maplecore,03-Dec,5,4,Black,Yellow,No,No,Black,Yellow,,Chaotic,Evil
Danger,25/08/2018,22/11/2021,03/04/2021,secondary,No,1185,952,Yes,Yes,Yes,Yes,#69DAB2,14,1.83 m,Human,Male,he/him,Straight,Right-handed,FW-4443,F. Highschool,Daniel Danger Strange",20-Jul,37,37,Ginger,Green,Yes,No,Turquoise,Yellow,Red,Neutral,Good
David,01/12/2018,01/09/2020,11/04/2022,main,No,640,1227,Yes,Yes,Yes,Yes,#52618B,91 (19),1.62 m,Elf,Male,he/him,Gay,Right-handed,Ahanaria,Wanderer,David Joseph Mirrorhare,20-Dec,76,77,Blue,Grey,No,No,Blue,Grey,,Neutral,Neutral
Dawn,11/06/2021,19/07/2021,19/07/2021,minor,Yes,38,38,Yes,Yes,Yes,Yes,#D75472,16,1.84 m,Angel,Transfemale,she/her,???,Right-handed,Vokais' Demonium,Angelic Skyscrapers,Dawn Abril,11-Jun,6,5,Brown,Blue,No,No,Pink,White,Blue,Lawful,Evil
Drew,21/08/2021,21/08/2021,04/11/2021,secondary,No,0,75,Yes,Yes,Yes,Yes,#F8BEBD,27,1.52 m,Goat,Transmale,he/him,Gay,Left-handed,Visiere,Republic of N�dre,Andrew Drew Gonwyn",07-Apr,11,10,Blue,Blue,No,No,Pink,White,,Lawful,Neutral
Eduardo,13/05/2020,,,minor,No,,,Yes,No,No,No,#E7AEAB,24,,Human,Male,he/him,Ace,Right-handed,Ahanaria,Angaar Capital,Eduardo Redrocks,,5,6,Ginger,Pink,Yes,No,Pink,Green,,Chaotic,Good
Elyse,30/04/2020,25/12/2020,17/10/2022,minor,No,239,900,Yes,Yes,Yes,Yes,#765DAA,19 (after),1.67 m,Human,Female,she/her,Bi,Right-handed,FW-4443,London,Elyse Norman,21-Mar,6,4,Brown,Turquoise,No,No,Purple,Brown,Blue,Lawful,Good
Ema,22/10/2021,03/11/2021,23/05/2022,secondary,No,12,213,Yes,Yes,Yes,Yes,#E41E33,16,1.54 m,Human,Female,she/her,???,Right-handed,Bastards Knowledge,current BOKs,Ema Fujimori,,9,8,Black,Purple,Yes,No,Red,Purple,,Neutral,Evil
Eristeris,19/09/2022,16/12/2022,,minor,Yes,88,,Yes,Yes,Yes,No,#C0C694,Ageless,1.59 m,Nymph,Female,she/her,Pan,Left-handed,Visiere,Heavenly Realm,Eristeris,,2,3,Blue,Green,No,No,White,Green,,Neutral,Neutral
Ezaiel,22/10/2020,05/06/2022,12/03/2021,secondary,No,591,141,Yes,Yes,Yes,Yes,#C672A3,106 (20),1.58 m,Elf,Male,he/him,Ace,Right-handed,Ahanaria,Lord's Inn,Ezaiel,??,7,6,Brown,Brown,No,No,Black,Pink,Orange,Chaotic,Neutral
Fallen,19/09/2022,01/11/2022,02/01/2023,minor,Yes,43,105,Yes,Yes,Yes,Yes,#74C2ED,13,1.51 m,Human,Demigirl,she/they,Ace,Right-handed,FW-4443,F. Highschool,Fallen Tripney,17-Sep,4,3,Blue,Brown,No,No,Blue,White,,Lawful,Neutral
Fillip,06/05/2021,,,minor,Yes,,,Yes,No,No,No,,13,,Human,Transfemale,she/her,Bi,Ambidextrous,FW-4443,F. Highschool,Fillip Tyrell,,3,3,Red,Orange,No,No,,,,Neutral,Good
Finchley,07/01/2022,08/01/2022,10/01/2023,secondary,No,1,368,Yes,Yes,Yes,Yes,#058610,15,1.64 m,Human,Male,he/him,???,Right-handed,Bastards Knowledge,current BOKs,Finchley Beavers,,13,13,Red,Green,Yes,No,Green,,,Chaotic,Neutral
Florin,31/03/2022,13/12/2022,,minor,No,257,,Yes,Yes,Yes,No,#FFAD4F,29,1.72 m,Seal-hamster,Male,he/him,Gay,Right-handed,Visiere,Theron,Florin Bulat,13-Apr,2,4,Brown,Red,No,No,Orange,Turquoise,Brown,Neutral,Good
Fluorite,01/02/2016,22/06/2022,25/07/2022,minor,No,2333,,Yes,Yes,Yes,Yes,#6A4B86,24,1.81 m,Elf,Genderfluid,he/she/they,Demi,Right-handed,Visiere,Ch�rice,Fluorite Lyon,17-Feb,4,2,Purple,Purple,Yes,No,Purple,Turquoise,,Neutral,Evil
Folo,06/03/2022,08/03/2022,,minor,No,2,,Yes,Yes,Yes,No,#A00E0E,18,1.64 m,Dog,Demiboy,he/they,Demi,Right-handed,Visiere,Halcyone,Folo,02-Nov,0,1,Blue,Red,Yes,No,Black,Red,Yellow,Neutral,Neutral
Freya,29/07/2022,11/01/2023,27/01/2023,main,Yes,166,182,Yes,Yes,Yes,Yes,#224993,122,1.59 m,Cyborg,Female,she/her,Demi,Left-handed,Familiar Bonds,,Freya Cerulanthis,,5,3,White,Blue,No,No,White,Blue,Yellow,Neutral,Good
Fryn,05/02/2019,30/07/2022,,secondary,No,1271,,Yes,Yes,Yes,No,#608E94,Ageless,2.22 m,Dragon,Male,he/him,Straight,Right-handed,Familiar Bonds,,Fryn,,6,7,White,Blue,No,No,Blue,Grey,White,Lawful,Neutral
Gabe,13/03/2019,,06/10/2020,minor,No,,573,Yes,Yes,No,Update,#FA6B48,45,1.87 m,Human,Male,he/him,Straight,Left-handed,FW-4443,Fairweather,Gabriel Gabe Strange",20-Oct,6,6,Ginger,Green,No,No,Orange,Purple,Brown,Chaotic,Neutral
Gathea,02/04/2021,08/02/2023,28/05/2021,secondary,Yes,677,56,Yes,Yes,Yes,Update,#C693D3,65,,Dragoncat,Female,she/her,Ace,Pawsies,Ahanaria,Wanderer,Gathea,19-Jun,6,5,N/A,Black,No,No,Brown,Grey,Purple,Chaotic,Neutral
George,13/05/2020,,04/10/2023,minor,No,,1239,Yes,No,No,Yes,#3D7A55,23,,Human,Male,he/him,Straight,Right-handed,Ahanaria,Angaar Capital,George Leafrass,14-Jan,4,4,Brown,Brown,No,No,Green,Brown,White,Lawful,Good
Gordon,01/11/2015,11/11/2023,08/09/2021,main,No,,2138,Yes,Yes,Yes,Yes,#57BDCD,15?,1.67 m,Dimenller,Female,she/her,???,Left-handed,OO-0000,,Gordon,20-Apr,14,14,Brown,Grey,Yes,No,Blue,Brown,,Lawful,Good
Greta,13/05/2020,23/01/2022,21/02/2022,minor,No,620,649,Yes,Yes,Yes,Yes,#C274B1,19,1.65 m,Human,Female,she/her,Bi,Right-handed,Visiere,Republic of N�dre,Greta,05-Mar,6,5,Ginger,Orange,No,No,Purple,Turquoise,,Chaotic,Good
Haif,06/04/2021,,15/05/2021,secondary,Yes,,39,Yes,Yes,No,Update,#D2208B,23,1.74 m,Human,Female,she/her,Pan,Right-handed,Vokais' Demonium,Angelic Slums,Haif Jinn ",03-Sep,3,3,Blond,White,No,No,White,Purple,Pink,Chaotic,Good
Harri,13/09/2022,16/12/2022,,minor,Yes,94,,Yes,Yes,Yes,No,#C7696F,19,1.54 m,Bear,Genderfluid,he/she/they,Bi,Ambidextrous,Visiere,Republic of N�dre,Harriet Harri Weslynne",13-May,2,3,Brown,Pink,Yes,No,Pink,Brown,,Chaotic,Good
Helia,26/12/2021,27/12/2021,26/05/2022,minor,Yes,1,151,Yes,Yes,Yes,Yes,#ECE09E,26,1.56 m,Human,Female,she/her,Ace,Right-handed,Ahanaria,Lord's Inn,Helia Baker,21-Sep,5,4,Purple,Blue,No,No,Yellow,Orange,Pink,Neutral,Neutral
Henry,14/06/2021,14/06/2021,14/06/2021,minor,Yes,0,0,Yes,Yes,Yes,Yes,#93C4DF,43,1.68 m,Human,Male,he/him,Straight,Right-handed,JH-1007,,Henry Aitch,,4,3,Red,Blue,No,No,Blue,Red,Yellow,Lawful,Evil
Hue,21/08/2021,21/08/2021,10/10/2021,minor,No,0,50,Yes,Yes,Yes,Yes,#82AE9A,12,1.18 m,Kobold,Nonbinary,they/them,???,Left-handed,D&D,,Hue Dew,,1,1,Brown,Green,No,No,Turquoise,Black,,Chaotic,Evil
Hydrangea,20/04/2021,,01/12/2022,minor,Yes,,590,Yes,Yes,No,Yes,#CBCBB4,101 (36?),,Fairy,Female,she/her,Gay,Left-handed,Ahanaria,Elfandor,Hydrangea Evergrown,31-Aug,4,4,Blond,Green,No,No,Green,Brown,Pink,Lawful,Neutral
Inge,03/01/2022,04/01/2022,05/07/2022,minor,No,1,183,Yes,Yes,Yes,Yes,#A99954,21,2.00 m,Human,Nonbinary,they/them,???,Right-handed,Bastard Knowledge,current BOKs,Igiklav Inge Chizhikov",,8,7,Brown,Turquoise,Yes,No,Yellow,Turquoise,,Chaotic,Neutral
Iris,27/10/2020,20/05/2022,15/12/2021,main,No,570,414,Yes,Yes,Yes,Yes,#5CD5A5,17,1.67 m,Human,Female,she/her,Demi,Ambidextrous,Bastard Knowledge,current BOKs,Iris Iakovidou,,19,18,Blond,Purple,Yes,No,Turquoise,Purple,,Neutral,Neutral
Ivory,04/05/2021,02/10/2021,09/10/2021,main,Yes,151,158,Yes,Yes,Yes,Yes,#729482,20,1.96 m,Demon,Nonbinary,they/them,???,Left-handed,Visiere,Republic of N�dre,Sondre Ivory Maplecore",03-Jan,50,48,Blond,Blue,No,No,Turquoise,Red,Yellow,Neutral,Evil
Jade,12/11/2021,25/11/2021,17/01/2022,minor,No,13,66,Yes,Yes,Yes,Yes,#6D4257,13,1.70 m,Human,Male,he/him,Pan,Left-handed,Ahanaria,Lord's Inn,Jade Mulberry,01-Nov,8,7,Brown,Pink,Yes,No,Purple,White,Red,Chaotic,Neutral
Jake,12/11/2021,25/11/2021,17/01/2022,minor,No,13,66,Yes,Yes,Yes,Yes,#A03549,13,1.68 m,Human,Male,he/him,???,Ambidextrous,Ahanaria,Lord's Inn,Jake Mulberry,01-Nov,8,7,Brown,Red,Yes,No,Red,Pink,,Chaotic,Good
James,15/02/2020,02/10/2020,06/10/2020,main,No,230,234,Yes,Yes,Yes,Yes,#FF02D8,20,1.80 m,Human,Male,he/him,Gay,Right-handed,Ahanaria,Lord's Inn,James Mulberry,18-Sep,118,98,Brown,Pink,Yes,No,Purple,Black,Pink,Chaotic,Neutral
Jasper,25/07/2022,02/08/2022,25/11/2023,minor,Yes,8,488,Yes,Yes,Yes,Yes,#D5C964,Ageless,1.37 m,Nekomimi,Male,he/him,Ace,Ambidextrous,Familiar Bonds,,Jasper,,5,4,Black,Black,Yes,No,Yellow,Black,Purple,Chaotic,Neutral
Jay,08/07/2018,,27/05/2021,minor,No,,1054,Yes,No,No,Yes,,12,,Human,Male,he/him,???,Right-handed,JH-1007,,Jay Aitch,,3,3,Blond,Blue,No,No,Orange,Green,Yellow,Lawful,Good
Jayden,26/07/2022,31/07/2022,08/11/2022,minor,Yes,5,105,Yes,Yes,Yes,Yes,#704283,23 (dead),1.66 m,Human,Female,she/her,Bi,Left-handed,Familiar Bonds,,Jayden Nullberry,,6,5,Brown,Purple,Yes,No,Purple,White,Yellow,Neutral,Good
Jeremy,29/09/2020,12/12/2021,12/07/2022,minor,No,439,651,Yes,Yes,Yes,Yes,#938560,12,1.31 m,Human,Male,he/him,???,Right-handed,Ahanaria,Lord's Inn,Jeremy Mulberry,19-Feb,4,3,Brown,Pink,Yes,No,Yellow,Purple,Brown,Neutral,Evil
John,17/08/2020,15/10/2021,10/11/2021,secondary,No,424,450,Yes,Yes,Yes,Yes,#F6908A,19,1.92 m,Human,Male,he/him,Gay,Right-handed,Ahanaria,Lord's Inn,John Mulberry,26-Jan,30,26,Ginger,Red,Yes,No,Red,Black,Blue,Neutral,Neutral
Jules,12/11/2021,30/05/2022,29/07/2022,minor,No,199,259,Yes,Yes,Yes,Yes,#E7ADC1,18,1.76 m,Human,Transfemale,she/her,Gay,Right-handed,Ahanaria,Lord's Inn,Julian Jules Mulberry,12-Jun,4,3,Red,Pink,Yes,Yes,Pink,Purple,White,Chaotic,Neutral
Kallisti,23/04/2019,19/12/2021,11/05/2021,minor,No,971,749,Yes,Yes,Yes,Update,#CA447A,20,1.77 m,Human,Female,she/her,Bi,Left-handed,FW-4443,F. University,Kallisti Lemonpie,01-Aug,13,10,Pink,Pink,Yes,No,Pink,White,,Chaotic,Evil
Kelly,25/08/2018,,15/01/2021,antagonist,No,,874,Yes,No,No,Update,#FBA29A,15,1.62 m,Human,Female,she/her,Ace,Right-handed,FW-4443,F. Highschool,Kelly Thompson,18-Oct,17,17,Brown,Black,No,No,Pink,,,Chaotic,Neutral
Klaus,19/07/2022,29/09/2023,12/11/2023,minor,yes,437,481,Yes,Yes,Yes,Yes,#98A45C,,1.36 m,Fairy,Demiboy,he/they,Demi,Left-handed,Ahanaria,Faefly Meadow,Klaus Faircreek,,4,3,Green,Green,No,No,Brown,Black,White,Lawful,Neutral
Kouyou,10/07/2022,29/07/2022,21/12/2022,minor,Yes,19,164,Yes,Yes,Yes,Yes,#913735,22,1.62 m,Dog,Demiboy,he/they,???,Right-handed,Visiere,Tendokoku,Kouyou Moriyama,05-Nov,4,4,Brown,Brown,No,No,Brown,Red,Yellow,Chaotic,Good
Kris,20/03/2020,29/11/2022,28/04/2020,minor,No,984,39,Yes,Yes,Yes,Yes,#38587D,13,1.50 m,Human,Male,he/him,???,Right-handed,Ahanaria,Lord's Inn,Kris,18-Jan,10,8,Brown,Blue,No,No,Blue,Red,,Lawful,Neutral
Kyle,23/04/2019,25/11/2023,11/05/2021,minor,No,1677,749,Yes,Yes,Yes,Update,#EADC58,20,1.77 m,Human,Male,he/him,Pan,Right-handed,FW-4443,F. University,Kyle Lemonpie,01-Aug,8,7,Green,Purple,No,No,Yellow,Green,Purple,Lawful,Good
Lann,27/10/2020,12/06/2022,14/12/2021,main,No,593,413,Yes,Yes,Yes,Yes,#9B9B9B,17,1.82 m,Human,Male,he/him,Straight,Right-handed,Bastards Knowledge,current BOKs,Lann Curtis,,16,15,Grey,Blue,Yes,Yes,Grey,Blue,,Neutral,Good
Laorta,02/11/2021,20/05/2022,14/07/2022,minor,Yes,199,254,Yes,Yes,Yes,Yes,#9E4E51,Ageless,1.52 m,Cat-Dragon,Female,she/her,Bi,Right-handed,Visiere,Jiekana,Laorta,,5,4,Brown,Brown,No,No,Brown,Green,Yellow,Lawful,Good
Lara,16/05/2022,18/05/2022,18/05/2023,main,No,2,367,Yes,Yes,Yes,Yes,#D78676,31?,1.67 m,Half-Elf-Dimenller,Female,she/her,Straight,Left-handed,???,,Lara,,5,5,Purple,Red,No,No,Red,Orange,Brown,Chaotic,Good
Larissa,25/01/2019,26/09/2023,,minor,No,1705,,Yes,Yes,Yes,No,#6C1419,,1.59 m,Elf,Female,she/her,???,Left-handed,Ahanaria,Elfandor,Larissa Pommesglim,,5,6,White,Red,No,No,Red,Black,Green,Chaotic,Neutral
Layla,27/05/2022,12/06/2022,,main,Yes,16,,Yes,Yes,Yes,No,#91AEB9,Ageless,1.39 m,Snow Leopard,Female,she/her,???,Left-handed,Familiar Bonds,,Layla,,5,6,White,Pink,No,No,Blue,Pink,White,Neutral,Good
Leif,07/08/2021,09/08/2021,24/10/2021,minor,No,2,78,Yes,Yes,Yes,Yes,#AC68B3,1 (after),,Human,Demiboy,he/they,???,Left-handed,Ahanaria,Angaar Capital,Leif Meadowspark,13-Oct,6,4,Pink,Purple,Yes,No,Pink,Brown,Purple,Neutral,Good
Lord,24/03/2021,27/03/2021,19/08/2021,secondary,No,3,148,Yes,Yes,Yes,Yes,#8C3794,�,1.66 m,Human,Male,he/him,Straight,Right-handed,Ahanaria,Lord's Inn,Lord Viociana,01-Sep,25,20,Purple,Brown,No,No,Purple,Brown,Yellow,Neutral,Good
Lovelyn,05/02/2022,22/05/2023,,main,No,471,,Yes,Yes,Yes,No,#517470,,1.62 m,Human,Male,he/him,Gay,Left-handed,Familiar Bonds,,Lovelyn Ros�,,3,4,Pink,Turquoise,No,No,Turquoise,Pink,Yellow,Chaotic,Neutral
Lyxander,05/02/2022,24/05/2023,,main,No,473,,Yes,Yes,Yes,No,#785C55,Ageless,2.13 m,Wolf,Male,he/him,Bi,Right-handed,Familiar Bonds,,Lyxander,,4,5,Brown,Black,No,No,Brown,Green,,Neutral,Evil
Marco,15/11/2020,25/12/2020,18/09/2021,main,No,40,307,Yes,Yes,Yes,Yes,#CA343B,21,1.84 m,Bull,Male,he/him,Gay,Right-handed,Assareal,,Marco Cavolo,18-Aug,19,17,Brown,Pink,No,No,Red,White,Yellow,Chaotic,Neutral
Mariel,13/03/2019,10/08/2022,,minor,No,1246,,Yes,Yes,Yes,No,#728055,43,1.73 m,Human,Female,she/her,Demi,Ambidextrous,FW-4443,London,Mariel Norman,19-Jan,5,4,Brown,Turquoise,No,No,Green,Black,Blue,Chaotic,Neutral
Martini,01/10/2020,13/01/2023,15/01/2023,secondary,No,834,836,Yes,Yes,Yes,Yes,#C9ADD9,27,1.47 m,Marten,Female,she/her,Demi,Right-handed,Visiere,Ch�rice,Martini Petitte,28-Feb,9,8,Purple,Purple,No,Yes,Blue,Pink,White,Neutral,Evil
Matthew,01/11/2015,26/10/2021,28/05/2021,main,No,,,Yes,Yes,Yes,Yes,#AB4845,19?,1.64 m,Dimenller,Genderfluid,he/she/they,Pan,Ambidextrous,OO-0000,,Matthew,30-Jun,77,77,Brown,Yellow,No,No,Red,Blue,Yellow,Neutral,Good
Max,15/01/2019,,17/03/2021,secondary,No,,792,Yes,No,No,Yes,#B8112E,19,1.79 m,Human,Male,he/him,Straight,Right-handed,FW-4443,F. University,Max Blueberry,15-May,8,8,Brown,Grey,No,No,Red,Blue,,Chaotic,Good
Mel,13/05/2018,09/09/2021,04/06/2021,main,No,1215,1118,Yes,Yes,Yes,Update,#1C90A5,16,1.76 m,Human,Female,she/her,Straight,Right-handed,FW-4443,F. Highschool,Melissa Gant,12-Dec,34,33,Brown,Green,No,No,Blue,Purple,Pink,Lawful,Good
Merid'os,09/01/2021,21/08/2021,17/01/2022,minor,No,224,373,Yes,Yes,Yes,Yes,#7C3948,18,1.75 m,Moose,Male,he/him,Gay,Left-handed,Feronanthis,,Merid'os,04-Dec,7,5,Brown,Black,No,No,Red,Blue,White,Chaotic,Evil
Miles,22/10/2021,20/02/2022,30/03/2022,antagonist,No,121,159,Yes,Yes,Yes,Yes,#383838,19,1.75 m,Human,Male,he/him,Gay,Right-handed,Bastards Knowledge,current BOKs,Miles Wilford Origia,,13,13,Grey,Red,Yes,No,Black,Red,Yellow,Chaotic,Neutral
Moffy,03/06/2020,,24/03/2021,minor,No,,294,Yes,Yes,Yes,Yes,#D07FE0,22,0.20 m,Faefly,Female,she/her,???,Right-handed,Ahanaria,Valley of Fear,Moffy,03-Jun,6,5,Purple,Pink,No,No,Purple,Pink,,Lawful,Neutral
Molly,01/05/2021,19/07/2021,19/07/2021,minor,No,79,79,Yes,Yes,Yes,Yes,#B27F9C,14,1.63 m,Angel,Female,she/her,???,Right-handed,Vokais' Demonium,Angelic Skyscrapers,Molly Catalissa,05-Dec,3,2,Purple,Purple,No,No,Purple,Pink,,Lawful,Neutral
